"ID";"global_id";"FullName";"ShortName";"INN";"OKPO";"AdmArea";"District";"Address";"Category";"Specialization";"OKVED";"OKVED_Description";"ID_en";"FullName_en";"ShortName_en";"INN_en";"OKPO_en";"AdmArea_en";"District_en";"Address_en";"Category_en";"Specialization_en";"OKVED_en";"OKVED_Description_en";"geodata_center";"geoarea";
"11";"169195899";"Общество с ограниченной ответственностью «МПЗ «Рублевский»";"ООО «МПЗ «Рублевский»";"7731176387";"56628803";"Западный административный округ";"Можайский район";"улица Горбунова, дом 4, строение 3";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"169195900";"Закрытое акционерное общество «МИКОЯНОВСКИЙ МЯСОКОМБИНАТ»";"ЗАО «МИКОЯНОВСКИЙ МЯСОКОМБИНАТ»";"7722169626";"51032326";"Юго-Восточный административный округ";"Нижегородский район";"улица Талалихина, дом 41, строение 14";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"169195901";"Общество с ограниченной ответственностью «Снежана+Д»";"ООО «Снежана+Д»";"7728201548";"16769627";"Юго-Западный административный округ";"район Коньково";"улица Бутлерова, дом 15";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"14";"169195902";"Акционерное общество «МЕРИДИАН»";"АО «МЕРИДИАН»";"7713016180";"11440376";"Северный административный округ";"район Западное Дегунино";"Ижорская улица, дом 7";"Пищевая промышленность";"Пищевая";"10.20";"Переработка и консервирование рыбы, ракообразных и моллюсков";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"15";"169195903";"Общество с ограниченной ответственностью «Русский рыбный мир»";"ООО»Русский рыбный мир»";"5074018058";"53894718";"Троицкий административный округ";"поселение Щаповское";"посёлок Курилово, Центральная улица, дом 15";"Пищевая промышленность";"Пищевая";"10.20";"Переработка и консервирование рыбы, ракообразных и моллюсков";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16";"169195904";"Открытое акционерное общество «Останкинский молочный комбинат»";"ОАО «ОМК»";"7715087436";"5331552";"Северо-Восточный административный округ";"Бутырский район";"улица Руставели, дом 14, строение 1";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"17";"169195905";"АКЦИОНЕРНОЕ ОБЩЕСТВО «ВИММ-БИЛЛЬ-ДАНН»";"АО «ВБД»";"7713085659";"5268977";"Северный административный округ";"район Восточное Дегунино";"Дмитровское шоссе, дом 108";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"18";"169195906";"Открытое акционерное общество «КАРАТ»";"ОАО «КАРАТ»";"7736042394";"27562252";"Северо-Восточный административный округ";"Бутырский район";"улица Руставели, дом 14, строение 11";"Пищевая промышленность";"Пищевая";"10.51";"Производство молока (кроме сырого) и молочной продукции";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"19";"169195907";"Общество с ограниченной ответственностью «АЛЬТЕРВЕСТ XXI ВЕК»";"ООО «АЛЬТЕРВЕСТ XXI ВЕК»";"5030040240";"56870500";"Троицкий административный округ";"поселение Первомайское";"посёлок Первомайское, деревня Губцево, улица Дорожная, дом 1";"Пищевая промышленность";"Пищевая";"10.52";"Производство мороженого";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20";"169195908";"Акционерное общество «БРПИ»";"АО «БРПИ»";"7715057618";"3203689";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 16, строение 22";"Пищевая промышленность";"Пищевая";"10.52";"Производство мороженого";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"21";"169195909";"Открытое акционерное общество «Мелькомбинат в Сокольниках»";"ОАО «Мелькомбинат в Сокольниках»";"7718018279";"5079029";"Восточный административный округ";"район Сокольники";"улица Жебрунова, дом 6, строение 1";"Пищевая промышленность";"Пищевая";"10.61.2";"Производство муки из зерновых культур";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22";"169195910";"Акционерное общество «МЕЛЬКОМБИНАТ №3»";"АО «МЕЛЬКОМБИНАТ №3»";"7714015735";"16981342";"Северный административный округ";"Хорошёвский район";"1-я Магистральная улица, дом 14, строение 1";"Пищевая промышленность";"Пищевая";"10.61.2";"Производство муки из зерновых культур";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"23";"169195911";"Общество с ограниченной ответственностью «ПО АРС»";"ООО «ПО АРС»";"5035020695";"56823883";"Восточный административный округ";"район Перово";"Электродная улица, дом 10";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24";"169195912";"Открытое акционерное общество «Золоторожский хлеб»";"ОАО «Золоторожский хлеб»";"7722020143";"346052";"Юго-Восточный административный округ";"район Лефортово";"улица Золоторожский Вал, дом 6";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25";"169195913";"Закрытое акционерное общество «ХЛЕБОЗАВОД № 22»";"ЗАО «ХЛЕБОЗАВОД № 22»";"7731014604";"346170";"Западный административный округ";"район Кунцево";"улица Академика Павлова, дом 4";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26";"169195914";"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ОСТАНКИНСКИЙ ЗАВОД БАРАНОЧНЫХ ИЗДЕЛИЙ»";"ЗАО «ОЗБИ»";"7715087411";"346201";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 11";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27";"169195915";"Открытое акционерное общество «МОСКВОРЕЧЬЕ»";"ОАО «МОСКВОРЕЧЬЕ»";"7725037650";"346230";"Южный административный округ";"Даниловский район";"2-й Павелецкий проезд, дом 7";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28";"169195916";"Закрытое акционерное общество «Хлебозавод № 24»";"ЗАО « Хлебозавод № 24»";"7712022825";"1218638";"Северный административный округ";"район Сокол";"Светлый проезд, дом 2";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29";"169195917";"Открытое акционерное общество «ЧЕРКИЗОВО»";"ОАО «ЧЕРКИЗОВО»";"7718018230";"346247";"Восточный административный округ";"район Преображенское";"Большая Черкизовская улица, дом 32Б";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30";"169195918";"Открытое акционерное общество «ХЛЕБОКОМБИНАТ «ПРОЛЕТАРЕЦ»";"ОАО «ХЛЕБОКОМБИНАТ «ПРОЛЕТАРЕЦ»";"7723001680";"346268";"Юго-Восточный административный округ";"Южнопортовый район";"Новоостаповская улица, дом 12";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31";"169195919";"Открытое акционерное общество «КБК «ЧЕРЕМУШКИ»";"ОАО «КБК «ЧЕРЕМУШКИ»";"7728060368";"346075";"Юго-Западный административный округ";"район Черёмушки";"улица Намёткина, дом 10А, строение 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"32";"169195920";"Закрытое акционерное общество «Хлебозавод N18»";"ЗАО «Хлебозавод N18»";"7714008150";"17508576";"Северный административный округ";"район Аэропорт";"Часовая улица, дом 6, корпус 3, строение 3";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"34";"169195922";"Открытое акционерное общество «ЯУЗА-ХЛЕБ»";"ОАО «ЯУЗА-ХЛЕБ»";"7716011052";"29499871";"Северо-Восточный административный округ";"район Ростокино";"проспект Мира, дом 220А";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"35";"169195923";"Акционерное общество «ХЛЕБОЗАВОД №28»";"АО «ХЛЕБОЗАВОД №28»";"7735004068";"337722";"Зеленоградский административный округ";"район Силино";"город Зеленоград, 3-й Западный проезд, дом 12";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"36";"169195924";"Общество с ограниченной ответственностью «ФИЛИ-БЕЙКЕР»";"ООО «ФИЛИ-БЕЙКЕР»";"7710209063";"18236097";"Западный административный округ";"район Филёвский Парк";"Береговой проезд, дом 4/6, строение 4";"Пищевая промышленность";"Пищевая";"10.8";"Производство прочих пищевых продуктов";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"37";"169195925";"Закрытое акционерное общество БКК «Коломенский»";"ЗАО БКК «Коломенский»";"7724766868";"68861009";"Южный административный округ";"район Нагатино-Садовники";"Хлебозаводский проезд, дом 7";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"38";"169195926";"Закрытое акционерное общество «ХЛЕБОКОМБИНАТ «ПЕКО»";"ЗАО «ХЛЕБОКОМБИНАТ «ПЕКО»";"7715112530";"5109322";"Северо-Восточный административный округ";"район Северное Медведково";"Полярная улица, дом 29, строение 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"40";"169195928";"Закрытое акционерное общество «КМКИ «Добрынинский»";"ЗАО «КМКИ «Добрынинский»";"7718681817";"84137980";"Восточный административный округ";"район Преображенское";"Электрозаводская улица, дом 27, строение 1";"Пищевая промышленность";"Пищевая";"10.71";"Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"41";"169195929";"Акционерное общество «ФАБРИКА «РУССКИЙ ШОКОЛАД»";"АО «ФАБРИКА «РУССКИЙ ШОКОЛАД»";"7710664778";"99608356";"Западный административный округ";"Можайский район";"Верейская улица, дом 29, строение 143";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"42";"169195930";"Открытое акционерное общество «КОНДИТЕРСКИЙ КОНЦЕРН БАБАЕВСКИЙ»";"ОАО «КОНДИТЕРСКИЙ КОНЦЕРН БАБАЕВСКИЙ»";"7708029391";"340658";"Центральный административный округ";"Красносельский район";"Малая Красносельская улица, дом 7, строение 2А";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"43";"169195931";"Публичное акционерное общество «КРАСНЫЙ ОКТЯБРЬ»";"ПАО «КРАСНЫЙ ОКТЯБРЬ»";"7706043263";"340635";"Центральный административный округ";"район Якиманка";"Берсеневская набережная, дом 6";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"90";"169195932";"Общество с ограниченной ответственностью «Эль Пако»";"ООО «Эль Пако»";"7707505055";"71620226";"Юго-Западный административный округ";"Обручевский район";"Профсоюзная улица, дом 82";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Целлюлозно-бумажная";"17.21";"Производство гофрированной бумаги и картона, бумажной и картонной тары";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"91";"169195933";"Общество с ограниченной ответственностью «ПОЛИГРАФИКА»";"ООО «ПОЛИГРАФИКА»";"7736168220";"46417544";"Юго-Восточный административный округ";"Рязанский район";"2-й Грайвороновский проезд, дом 40А, строение 5";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Целлюлозно-бумажная";"17.23";"Производство бумажных канцелярских принадлежностей";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"92";"169195934";"Общество с ограниченной ответственностью «ХАТБЕР-М»";"ООО «ХАТБЕР-М»";"7709268931";"49925672";"Южный административный округ";"район Чертаново Центральное";"улица Подольских Курсантов, дом 3, строение 2";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Целлюлозно-бумажная";"17.23";"Производство бумажных канцелярских принадлежностей";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"93";"169195935";"Общество с ограниченной ответственностью МПФ «СОЮЗПАК»";"ООО МПФ «СОЮЗПАК»";"7709206212";"45077247";"Новомосковский административный округ";"поселение Марушкинское";"п. Марушкинское, пос. совхоза Крекшино, ул. Южная, стр. 33.";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Целлюлозно-бумажная";"17.22";"Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"94";"169195936";"Общество с ограниченной ответственностью «Юнайтед Пресс»";"ООО «Юнайтед Пресс»";"7712110285";"51298350";"Северо-Восточный административный округ";"район Марьина Роща";"Полковая улица, дом 3, строение 1";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"18.11";"Печатание газет";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"95";"169195937";"Акционерное общество «ИЗДАТЕЛЬСТВО «ПРОСВЕЩЕНИЕ»";"АО «ИЗДАТЕЛЬСТВО «ПРОСВЕЩЕНИЕ»";"7715995942";"29194516";"Северо-Восточный административный округ";"район Марьина Роща";"3-й проезд Марьиной Рощи, дом 41";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.11.1";"Издание книг, брошюр, рекламных буклетов и аналогичных изданий, включая издание словарей и энциклопедий, в том числе для слепых, в печатном виде";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"96";"169195938";"Акционерное общество «Издательство «Детская литература»";"АО «Издательство «Детская литература»";"7715608368";"2445812";"Северный административный округ";"район Аэропорт";"улица Черняховского, дом 5";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.11";"Издание книг";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"98";"169195940";"ИЗДАТЕЛЬСТВО «ЮРИДИЧЕСКАЯ ЛИТЕРАТУРА»";"ИЗДАТЕЛЬСТВО «ЮРИДИЧЕСКАЯ ЛИТЕРАТУРА»";"7703013158";"2425494";"Центральный административный округ";"Пресненский район";"Малая Никитская улица, дом 19";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.14";"Издание журналов и периодических изданий";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"99";"169195941";"Общество с ограниченной ответственностью «АКТИОН-ПРЕСС»";"ООО «АКТИОН-ПРЕСС»";"7702272022";"51270149";"Северный административный округ";"Тимирязевский район";"Локомотивный проезд, дом 21А";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.14";"Издание журналов и периодических изданий";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"100";"169195942";"Общество с ограниченной ответственностью «ИЗДАТЕЛЬСТВО «ЭКСМО»";"ООО «ИЗДАТЕЛЬСТВО «ЭКСМО»";"7708188426";"58058553";"Северный административный округ";"Хорошёвский район";"улица Зорге, дом 1";"Целлюлозно-бумажная промышленность, издательская и полиграфическая деятельность";"Издательство";"58.11";"Издание книг";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"44";"169195950";"Открытое акционерное общество «РОТ ФРОНТ»";"ОАО «РОТ ФРОНТ»";"7705033216";"340664";"Центральный административный округ";"район Замоскворечье";"2-й Новокузнецкий переулок, дом 13/15";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"45";"169195951";"Акционерное общество «УДАРНИЦА»";"АО «УДАРНИЦА»";"7706042326";"340670";"Центральный административный округ";"район Якиманка";"улица Шаболовка, дом 13";"Пищевая промышленность";"Пищевая";"10.82";"Производство какао, шоколада и сахаристых кондитерских изделий";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"46";"169195952";"Открытое акционерное общество «ЭКСТРА М»";"ОАО «ЭКСТРА М»";"7718083616";"17613675";"Восточный административный округ";"район Сокольники";"3-я Рыбинская улица, дом 22, строение 1";"Пищевая промышленность";"Пищевая";"10.73.1";"Производство макаронных изделий";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"47";"169195953";"Публичное акционерное общество «РУССКИЙ ПРОДУКТ»";"ПАО «РУССКИЙ ПРОДУКТ»";"7718117872";"44418433";"Восточный административный округ";"район Метрогородок";"Пермская улица, дом 1, строение 1";"Пищевая промышленность";"Пищевая";"10.89";"Производство прочих пищевых продуктов, не включенных в другие группировки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"49";"169195955";"Общество с ограниченной ответственностью «МЧФ»";"ООО «МЧФ»";"7722146516";"18406694";"Юго-Восточный административный округ";"район Лефортово";"ул. Боровая, д. 3";"Пищевая промышленность";"Пищевая";"10.83";"Производство чая и кофе";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"50";"169195956";"Общество с ограниченной ответственностью «КОМПАНИЯ СКИТ»";"ООО «КОМПАНИЯ СКИТ»";"7726223190";"44997247";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 59, строение 2";"Пищевая промышленность";"Пищевая";"10.84";"Производство приправ и пряностей";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"51";"169195957";"Закрытое акционерное общество «ДЖЕКС»";"ЗАО «ДЖЕКС»";"7729064887";"29024398";"Юго-Восточный административный округ";"Нижегородский район";"1-я Фрезерная улица, дом 2/1, строение 10";"Пищевая промышленность";"Пищевая";"56.29";"Деятельность предприятий общественного питания по прочим видам организации питания";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"52";"169195958";"Общество с ограниченной ответственностью «ЛЕОВИТ НУТРИО»";"ООО «ЛЕОВИТ НУТРИО»";"7713204095";"49947596";"Северо-Восточный административный округ";"район Отрадное";"Поморская улица, дом 33";"Пищевая промышленность";"Пищевая";"10.85";"Производство готовых пищевых продуктов и блюд";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"53";"169195959";"Акционерное общество «МОСАЗЕРВИНЗАВОД»";"АО «МОСАЗЕРВИНЗАВОД»";"7701003490";"5109457";"Центральный административный округ";"Басманный район";"улица Макаренко, дом 10/20, строение 5";"Пищевая промышленность";"Пищевая";"11.01.1";"Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"54";"169195960";"Открытое акционерное общество «ОЗН»";"ОАО «ОЗН»";"7715094708";"341988";"Северо-Восточный административный округ";"Бутырский район";"улица Добролюбова, дом 8А, строение 1";"Пищевая промышленность";"Пищевая";"11.07";"Производство безалкогольных напитков; производство минеральных вод и прочих питьевых вод в бутылках";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"55";"169195961";"Акционерное общество «МВКЗ «КИН»";"АО «МВКЗ «КИН»";"7712024477";"5209957";"Северный административный округ";"район Левобережный";"Ленинградское шоссе, дом 67";"Пищевая промышленность";"Пищевая";"11.01.1";"Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"56";"169195962";"Открытое акционерное общество «МКШВ»";"ОАО «МКШВ»";"7729007350";"5324693";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, дом 44";"Пищевая промышленность";"Пищевая";"11.02";"Производство вина из винограда";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"57";"169195963";"Закрытое акционерное общество МПБК «ОЧАКОВО»";"ЗАО МПБК «ОЧАКОВО»";"7729101200";"5230650";"Западный административный округ";"район Очаково-Матвеевское";"Рябиновая улица, дом 44";"Пищевая промышленность";"Пищевая";"11.05";"Производство пива";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"58";"169195964";"Общество с ограниченной ответственностью «КОКА-КОЛА ЭЙЧБИСИ ЕВРАЗИЯ» ФЛ Г МОСКВА";"ООО «КОКА-КОЛА ЭЙЧБИСИ ЕВРАЗИЯ» ФЛ Г МОСКВА";"7701215046";"58662125";"Западный административный округ";"район Ново-Переделкино";"Новоорловская улица, дом 7";"Пищевая промышленность";"Пищевая";"11.07.2";"Производство безалкогольных напитков ароматизированных и/или с добавлением сахара, кроме минеральных вод";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"60";"169195966";"Акционерное общество «Троицкая камвольная фабрика»";"АО «Троицкая камвольная фабрика»";"5046005770";"322092";"Троицкий административный округ";"поселение Троицк";"город Троицк, Фабричная площадь, дом 1";"Легкая промышленность";"Текстильная";"13.10.3";"Прядение гребенное шерстяных волокон";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"61";"169195967";"Открытое акционерное общество «МШФ»";"ОАО «МШФ»";"7719034650";"320609";"Восточный административный округ";"район Соколиная Гора";"Малая Семёновская улица, дом 28";"Легкая промышленность";"Текстильная";"13.10.3";"Прядение гребенное шерстяных волокон";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"63";"169195969";"Акционерное общество «ФОРТ ТЕХНОЛОГИЯ»";"АО «ФОРТ ТЕХНОЛОГИЯ»";"7710060720";"29928332";"Южный административный округ";"Донской район";"Варшавское шоссе, дом 1";"Легкая промышленность";"Текстильная";"13.92";"Производство готовых текстильных изделий, кроме одежды";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"64";"169195970";"ООО ""Нетканые материалы""";"ЗАО «РЕГЕНТ НМ»";"7751017353";"54788148";"Троицкий административный округ";"поселение Роговское";"142191, г Москва, г Троицк, 
ул Нагорная, 5 ";"Легкая промышленность";"Текстильная";"13.95";"Производство нетканых текстильных материалов и изделий из них, кроме одежды";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
